,Close,High,Low,Open,Volume,Dividends,Stock Splits
2021-06-07,351.55,357.37,350.06,355.86,1125200,0.0,0.0
2021-06-08,350.86,352.52,348.04,351.74,613200,0.0,0.0
2021-06-09,352.27,352.62,348.52,350.86,689600,0.0,0.0
2021-06-10,352.18,355.16,350.66,354.54,741400,0.0,0.0
2021-06-11,354.59,355.06,350.0,353.48,636200,0.0,0.0
2021-06-14,351.92,352.73,349.25,352.12,865500,0.0,0.0
2021-06-15,354.54,356.78,353.37,354.91,687000,0.0,0.0
2021-06-16,351.9,357.54,351.37,357.54,883400,0.0,0.0
2021-06-17,348.58,353.49,346.22,352.87,737000,0.0,0.0
2021-06-18,347.15,350.03,345.31,345.95,2387100,0.0,0.0
2021-06-21,352.92,354.14,348.3,349.62,893800,0.0,0.0
2021-06-22,352.24,353.95,350.82,353.95,491600,0.0,0.0
2021-06-23,350.07,352.26,348.02,352.26,709800,0.0,0.0
2021-06-24,349.51,351.76,347.48,351.76,644900,0.0,0.0
2021-06-25,352.94,354.92,347.97,348.86,2930400,0.0,0.0
2021-06-28,350.01,353.01,348.25,353.01,565000,0.0,0.0
2021-06-29,340.65,350.98,340.35,349.63,1151300,0.0,0.0
2021-06-30,343.6,345.0,341.58,341.58,613900,0.0,0.0
2021-07-01,347.56,347.88,343.56,344.64,449400,0.0,0.0
2021-07-02,349.05,350.81,345.37,347.84,338000,0.0,0.0
2021-07-06,347.59,348.33,342.95,347.95,603300,0.0,0.0
2021-07-07,351.0,351.76,345.84,347.29,545500,0.0,0.0
2021-07-08,349.75,351.69,347.86,348.77,402700,0.0,0.0
2021-07-09,351.53,353.13,349.22,352.15,357400,0.0,0.0
2021-07-12,350.12,352.12,348.19,349.96,450300,0.0,0.0
2021-07-13,347.34,353.57,347.25,350.38,707400,0.0,0.0
2021-07-14,344.08,348.34,343.78,347.31,1044400,0.0,0.0
2021-07-15,344.25,345.76,341.97,342.57,491000,0.0,0.0
2021-07-16,343.01,346.01,341.62,345.48,778800,0.0,0.0
2021-07-19,335.63,342.55,331.5,341.65,866700,0.0,0.0
2021-07-20,340.33,342.94,336.23,336.23,911300,0.0,0.0
2021-07-21,341.73,343.49,340.25,341.38,632500,0.0,0.0
2021-07-22,339.65,341.35,338.74,341.11,549500,0.0,0.0
2021-07-23,341.59,341.96,339.18,340.93,478400,0.0,0.0
2021-07-26,338.71,339.82,335.91,338.39,715800,0.0,0.0
2021-07-27,342.43,345.14,338.91,338.95,573100,0.0,0.0
2021-07-28,340.46,345.07,340.21,343.63,564400,0.0,0.0
2021-07-29,345.7,349.66,343.01,343.01,1015700,0.0,0.0
2021-07-30,343.21,346.39,342.44,344.73,645200,0.0,0.0
2021-08-02,342.09,347.31,341.97,343.97,396700,0.0,0.0
2021-08-03,344.55,345.67,339.09,341.63,666200,0.0,0.0
2021-08-04,337.75,344.14,337.05,343.05,641800,0.0,0.0
2021-08-05,339.14,339.8,337.52,339.08,351300,0.0,0.0
2021-08-06,342.35,343.16,340.22,340.22,361100,0.0,0.0
2021-08-09,341.29,341.98,340.07,341.98,356500,0.0,0.0
2021-08-10,342.89,343.22,339.29,340.56,642600,0.0,0.0
2021-08-11,346.12,347.26,342.48,343.95,331200,0.0,0.0
2021-08-12,344.0,347.3,341.3,347.3,570400,0.0,0.0
2021-08-13,343.29,345.37,342.93,344.02,372100,0.0,0.0
2021-08-16,348.5,348.69,339.93,342.68,679900,0.0,0.0
2021-08-17,348.51,351.47,345.94,348.89,924700,0.0,0.0
2021-08-18,343.34,347.47,343.22,346.52,411700,0.0,0.0
2021-08-19,341.38,345.08,340.24,342.39,468100,0.0,0.0
2021-08-20,343.19,344.77,339.65,340.55,496000,0.0,0.0
2021-08-23,343.11,345.24,342.87,345.08,474400,0.0,0.0
2021-08-24,342.97,344.56,342.5,344.56,318800,0.0,0.0
2021-08-25,342.87,344.53,341.92,343.14,416600,0.0,0.0
2021-08-26,346.74,347.01,341.09,342.37,739600,0.0,0.0
2021-08-27,346.41,349.85,345.19,348.55,553700,1.57,0.0
2021-08-30,349.05,350.65,345.53,346.33,541100,0.0,0.0
2021-08-31,349.13,349.33,345.75,348.81,782300,0.0,0.0
2021-09-01,346.55,349.31,346.18,349.31,508300,0.0,0.0
2021-09-02,349.7,349.79,346.56,346.56,665600,0.0,0.0
2021-09-03,347.45,349.67,346.97,349.19,379400,0.0,0.0
2021-09-07,340.75,347.06,340.46,345.18,869100,0.0,0.0
2021-09-08,342.2,344.18,340.29,340.65,560100,0.0,0.0
2021-09-09,338.76,343.52,338.68,342.13,1259200,0.0,0.0
2021-09-10,336.21,340.02,335.04,339.78,669300,0.0,0.0
2021-09-13,335.83,339.49,332.09,337.77,647800,0.0,0.0
2021-09-14,333.96,337.85,331.48,337.13,848300,0.0,0.0
2021-09-15,337.77,339.16,333.68,334.23,611500,0.0,0.0
2021-09-16,332.0,339.07,331.62,338.74,584300,0.0,0.0
2021-09-17,332.55,337.78,329.49,333.16,1901700,0.0,0.0
2021-09-20,331.19,333.89,327.73,329.44,634800,0.0,0.0
2021-09-21,327.71,332.65,327.47,331.21,535200,0.0,0.0
2021-09-22,330.92,332.77,328.35,329.5,585700,0.0,0.0
